Student_ID,Age,Gender,Study_Hours_per_Week,Attendance_Rate,Previous_Score,Assignment_Performance,Sleep_Hours_per_Night,Motivation_Level,Parental_Involvement,Internet_Access,Tutoring,Extracurricular_Activities,Family_Income,Distance_from_School,Learning_Difficulties,Academic_Support,Exam_Score
STU00026,15,Male,26.5,100.0,57.7,68.5,9.0,Medium,Medium,Yes,No,No,Low,Far,No,No,65.5
STU00027,18,Male,14.8,89.1,61.9,75.0,8.1,Medium,High,Yes,No,No,Medium,Moderate,No,No,66.4
STU00028,16,Female,0.0,89.5,41.8,65.4,8.6,Medium,Medium,Yes,No,No,Medium,Near,No,No,48.5
STU00029,20,Female,8.1,74.4,64.1,55.5,9.6,Medium,High,Yes,No,No,Medium,Moderate,No,No,46.3
STU00030,19,Male,17.5,61.8,68.1,68.4,7.2,Medium,Medium,Yes,Yes,Yes,Medium,Near,Yes,No,64.6
STU00031,18,Female,18.0,89.5,61.3,79.5,7.4,Medium,Medium,Yes,No,Yes,Medium,Far,No,No,67.3
STU00032,15,Female,12.9,80.0,61.3,62.8,7.5,Medium,Medium,Yes,No,No,High,Moderate,Yes,Yes,69.5
STU00033,15,Female,23.8,94.8,48.2,70.3,8.7,High,High,No,No,No,Low,Moderate,No,No,70.6
STU00034,17,Female,10.4,75.9,71.7,59.1,8.6,Medium,Low,Yes,No,No,Medium,Far,No,Yes,63.1
STU00035,17,Male,22.9,79.7,67.4,74.2,6.1,Medium,Medium,Yes,Yes,No,Low,Moderate,No,No,61.8
STU00036,21,Male,15.0,96.2,47.5,75.2,5.3,High,High,Yes,Yes,No,Medium,Near,No,Yes,74.0
STU00037,16,Male,10.5,89.4,58.1,55.0,5.4,High,Medium,Yes,No,No,Medium,Near,No,No,62.9
STU00038,18,Female,20.9,75.0,41.0,84.0,7.1,Medium,High,Yes,Yes,No,Medium,Moderate,No,No,60.7
STU00039,18,Male,14.6,85.3,61.2,76.1,5.2,Medium,Medium,Yes,Yes,Yes,Low,Far,No,No,70.0
STU00040,21,Female,22.1,100.0,65.9,67.2,7.5,Medium,Medium,Yes,No,No,Medium,Moderate,No,No,62.6
STU00041,20,Male,38.3,86.4,58.1,100.0,4.0,Low,Medium,No,Yes,Yes,Medium,Far,No,No,72.3
STU00042,20,Male,,83.5,69.6,37.3,9.8,Medium,Low,Yes,No,No,Medium,Near,No,No,61.9
STU00043,21,Female,22.0,94.0,67.2,68.0,4.9,Medium,Medium,No,Yes,No,Medium,Near,No,No,73.3
STU00044,20,Male,20.1,88.5,55.4,60.5,6.0,Low,High,Yes,No,Yes,Medium,Near,No,No,58.6
STU00045,17,Male,29.2,99.4,84.0,98.0,6.1,Low,High,Yes,No,Yes,High,Moderate,No,No,86.5
STU00046,18,Female,22.3,92.6,75.7,81.5,9.2,High,,Yes,No,No,Medium,Near,No,No,82.0
STU00047,21,Male,27.6,94.1,59.9,80.2,7.0,High,Medium,Yes,Yes,Yes,Medium,Near,No,No,90.8
STU00048,18,Female,7.1,99.9,62.6,66.6,5.4,Medium,Low,Yes,No,Yes,High,Moderate,No,No,55.0
STU00049,15,Female,4.8,82.0,61.4,55.4,6.9,Medium,Medium,Yes,No,No,Low,Moderate,No,No,56.6
STU00050,17,Male,7.5,79.0,49.0,82.2,7.1,Low,Medium,No,Yes,Yes,Low,Moderate,No,Yes,51.7
STU00051,19,Female,13.7,71.5,72.6,78.3,,Medium,Low,No,Yes,Yes,Medium,Moderate,No,No,70.4
STU00052,17,Female,26.1,82.9,53.2,96.4,5.4,High,High,Yes,No,Yes,Medium,Moderate,No,No,67.5
STU00053,21,Male,27.8,71.9,52.0,72.7,8.3,High,Medium,Yes,No,No,High,Moderate,No,No,74.7
STU00054,19,Male,,88.7,39.2,84.7,7.2,Medium,Medium,Yes,No,No,High,Far,No,Yes,58.3
STU00055,15,Male,14.1,78.9,58.0,60.5,9.2,Medium,Medium,Yes,No,Yes,Medium,Near,No,Yes,62.7
STU00056,21,Female,5.6,94.6,68.1,39.9,6.7,Medium,Low,Yes,No,Yes,Medium,Near,No,Yes,56.5
STU00057,16,Male,15.6,92.8,74.4,64.1,6.9,High,High,Yes,No,Yes,Medium,Near,No,No,68.3
STU00058,18,Female,13.4,81.1,54.5,76.0,6.8,High,High,Yes,No,Yes,Medium,Near,No,No,61.0
STU00059,15,Female,13.4,94.8,73.6,64.4,8.9,Medium,Medium,Yes,No,No,Medium,Far,No,No,65.8
STU00060,18,Female,24.4,86.5,65.8,81.2,8.0,Medium,High,No,No,Yes,Medium,Near,No,No,75.4
STU00061,20,Male,18.2,67.3,56.4,62.2,5.9,Low,Low,Yes,No,No,Medium,Far,No,No,51.4
STU00062,16,Male,4.5,75.1,47.4,56.8,10.0,Medium,High,No,Yes,Yes,Low,Near,No,No,48.7
STU00063,16,Female,0.0,77.8,62.9,54.6,6.0,Medium,Medium,Yes,No,No,Medium,Far,No,No,48.2
STU00064,15,Male,19.4,85.1,41.8,72.7,6.2,Low,High,Yes,No,No,Low,Moderate,Yes,No,49.6
STU00065,16,Male,16.9,80.7,62.2,69.2,8.4,Medium,Medium,Yes,No,Yes,High,Moderate,No,No,71.0
STU00066,19,Male,18.0,79.7,67.3,71.9,6.8,Medium,Medium,Yes,Yes,Yes,Low,Moderate,No,No,72.3
STU00067,16,Male,16.9,90.8,69.4,70.3,5.4,High,Low,Yes,No,Yes,High,Near,No,No,74.8
STU00068,18,Female,5.8,92.9,57.9,70.3,8.8,Medium,Medium,Yes,No,Yes,Medium,Moderate,No,No,58.3
STU00069,18,Male,13.5,78.8,70.1,77.7,10.0,High,Medium,Yes,Yes,No,Medium,Near,Yes,No,65.5
STU00070,21,Male,12.6,76.5,38.0,78.9,5.5,Medium,Medium,Yes,No,Yes,Medium,Moderate,No,Yes,54.6
STU00071,18,Male,14.3,97.6,70.0,63.4,8.8,High,Medium,No,No,Yes,Medium,Moderate,No,Yes,71.1
STU00072,21,Female,22.0,100.0,67.6,63.9,6.3,Medium,High,Yes,No,Yes,Medium,Near,No,Yes,76.3
STU00073,18,Female,10.4,75.6,67.3,56.6,4.0,Low,Low,No,No,No,Medium,Far,No,No,41.8
STU00074,19,Male,5.8,93.9,69.3,51.7,8.0,Medium,High,No,No,No,Medium,Near,No,No,59.3
STU00075,21,Female,25.7,83.6,64.9,66.9,4.2,Medium,High,Yes,Yes,Yes,Medium,Moderate,Yes,No,68.1
STU00076,17,Female,9.2,91.8,53.3,63.7,5.9,Medium,Medium,Yes,No,No,Medium,Far,No,Yes,57.6
STU00077,20,Female,24.2,75.5,62.0,84.2,6.6,Medium,Low,Yes,No,No,Low,Moderate,No,No,65.9
STU00078,15,Female,32.2,72.5,60.2,76.5,7.0,Medium,Medium,Yes,No,No,Medium,Moderate,No,Yes,72.6
STU00079,18,Male,27.1,73.8,67.4,69.5,8.6,High,Medium,Yes,Yes,Yes,High,Moderate,No,Yes,85.4
STU00080,16,Male,20.3,79.4,66.8,70.1,6.1,High,Medium,Yes,Yes,No,Low,Far,Yes,Yes,74.9
STU00081,18,Male,13.4,82.7,58.5,78.8,9.1,Medium,Medium,Yes,No,No,Medium,Near,No,No,66.3
STU00082,16,Male,22.3,94.5,66.9,58.2,6.9,High,Medium,Yes,Yes,No,Medium,Moderate,No,No,77.4
STU00083,20,Other,14.8,76.7,57.0,76.4,5.4,Low,Low,Yes,No,No,Medium,Moderate,No,Yes,55.4
STU00084,20,Male,26.3,78.6,71.9,83.7,7.9,Low,High,Yes,Yes,Yes,Low,Near,No,No,79.4
STU00085,20,Male,20.1,100.0,82.2,44.9,9.7,Medium,Medium,Yes,No,No,Medium,Near,No,Yes,64.3
STU00086,16,Female,18.0,85.5,74.8,66.4,6.3,Medium,Medium,Yes,No,Yes,Low,Near,No,No,78.1
STU00087,18,Female,15.4,87.9,64.9,61.6,,Medium,High,Yes,No,No,Low,Moderate,No,No,56.2
STU00088,20,Male,11.0,92.5,61.0,69.2,6.1,High,High,Yes,No,No,Medium,Far,Yes,No,61.2
STU00089,19,Male,15.0,79.8,57.6,62.3,4.4,Medium,Medium,Yes,No,No,Medium,Moderate,No,No,53.8
STU00090,21,Male,17.3,84.8,57.8,66.3,7.5,Medium,Medium,Yes,No,No,High,Moderate,No,No,69.2
STU00091,16,Female,12.9,81.8,26.8,56.7,4.7,Low,Low,Yes,No,No,Low,Near,No,No,37.6
STU00092,16,Male,17.4,84.2,54.1,78.4,8.0,Medium,Medium,No,No,Yes,Medium,Near,No,Yes,64.3
STU00093,18,Male,22.9,93.4,47.4,61.8,6.6,Medium,Low,Yes,No,Yes,Low,Near,No,Yes,61.8
STU00094,16,Female,17.2,91.7,61.9,65.4,8.0,Medium,,Yes,No,No,Medium,Moderate,No,No,65.0
STU00095,16,Male,10.7,62.2,65.2,56.6,6.6,Medium,High,Yes,No,No,High,Near,No,No,60.8
STU00096,20,Female,0.0,95.0,48.4,46.5,7.7,High,Medium,Yes,No,Yes,High,Moderate,No,Yes,61.6
STU00097,18,Female,24.7,81.5,53.7,66.7,5.5,Low,Medium,No,Yes,No,Low,Far,No,No,55.9
STU00098,20,Male,14.1,88.9,45.9,64.5,7.4,Medium,Medium,Yes,No,No,Medium,Moderate,No,No,58.8
STU00099,21,Female,16.6,80.9,59.9,64.7,6.0,High,Low,No,No,Yes,Medium,Moderate,No,Yes,64.1
STU00100,21,Female,19.4,84.5,46.6,64.8,7.9,Medium,Medium,Yes,No,Yes,Low,Moderate,No,No,60.2
STU00101,20,Male,19.4,98.2,44.7,72.3,6.8,High,High,Yes,No,No,Low,Near,No,Yes,66.4
STU00102,21,Female,21.1,88.4,61.1,79.5,8.7,High,Low,Yes,No,Yes,High,Near,No,No,81.6
STU00103,18,Female,23.1,97.6,46.4,71.3,,Medium,High,No,No,Yes,High,Far,No,Yes,61.6
STU00104,15,Female,21.0,84.5,62.8,64.4,5.9,Low,Low,Yes,No,No,High,Moderate,Yes,No,57.0
STU00105,20,Male,0.0,83.5,48.1,42.2,7.2,Medium,Low,Yes,Yes,No,Medium,Moderate,No,No,49.2
STU00106,19,Other,18.1,85.1,52.7,71.4,10.0,Medium,High,Yes,No,Yes,Medium,Near,No,Yes,64.5
STU00107,19,Male,17.0,72.3,55.5,62.5,8.6,Medium,High,Yes,Yes,Yes,Medium,Moderate,No,No,63.9
STU00108,16,Male,13.0,58.1,58.6,61.2,5.8,Medium,Low,Yes,Yes,No,Low,Near,No,No,56.2
STU00109,21,Male,18.8,77.2,76.2,63.5,7.0,High,Low,Yes,Yes,Yes,Low,Near,No,No,82.0
STU00110,19,Male,15.2,95.3,39.2,61.4,6.0,Low,Low,No,Yes,No,Medium,Near,No,No,55.1
STU00111,16,Female,10.5,99.2,83.8,59.5,5.7,Medium,Medium,No,No,No,Medium,Moderate,No,Yes,63.9
STU00112,15,Male,24.9,65.0,54.0,81.3,7.0,Medium,Medium,No,No,No,High,Near,No,No,62.1
STU00113,18,Male,17.8,97.9,62.0,62.7,6.6,Medium,Medium,Yes,No,Yes,High,Near,No,No,73.5
STU00114,18,Female,16.4,79.1,62.7,61.1,5.4,Medium,Low,No,No,Yes,High,Moderate,No,Yes,54.8
STU00115,18,Male,0.0,70.7,60.3,52.9,6.0,Medium,Low,Yes,Yes,Yes,High,Moderate,No,No,57.3
STU00116,19,Male,32.0,95.6,48.3,98.3,7.1,High,Low,Yes,No,Yes,Low,Moderate,Yes,No,75.1
STU00117,15,Male,0.1,79.9,69.9,32.4,6.1,Medium,Medium,Yes,No,No,Medium,Moderate,No,Yes,55.1
STU00118,19,Male,19.2,100.0,82.2,70.2,7.0,Medium,Medium,Yes,No,No,Medium,Far,No,No,73.3
STU00119,21,Male,20.7,78.3,52.4,75.5,6.0,Medium,Medium,Yes,Yes,No,Low,Near,No,No,63.9
STU00120,19,Female,28.2,82.2,60.4,71.7,7.7,Low,Medium,Yes,Yes,No,High,Near,No,No,69.4
STU00121,15,Male,7.3,75.2,55.7,62.2,6.0,Medium,Medium,Yes,No,Yes,High,Moderate,No,No,55.9
STU00122,15,Male,8.5,86.5,65.7,42.8,8.0,Low,High,Yes,No,Yes,Low,Near,No,No,53.6
STU00123,21,Female,21.4,93.0,58.3,77.1,6.6,High,Medium,Yes,No,No,Low,Moderate,No,No,69.5
STU00124,15,Female,20.2,67.7,61.5,79.2,4.0,Medium,Medium,Yes,Yes,No,Medium,Moderate,No,No,66.3
STU00125,15,Male,28.6,91.6,62.2,88.6,6.6,High,Medium,Yes,Yes,Yes,Medium,Far,No,No,85.0
STU00126,18,Female,23.7,80.9,52.6,72.3,7.8,High,High,Yes,Yes,No,High,Far,Yes,No,66.4
STU00127,21,Male,12.3,76.4,84.3,61.6,6.2,Medium,High,Yes,No,No,Low,Far,No,No,65.5
STU00128,17,Female,14.1,71.0,48.3,75.8,6.7,High,Medium,Yes,Yes,Yes,Low,Near,No,No,67.2
STU00129,17,Female,19.2,94.8,90.7,65.7,7.9,High,Low,No,Yes,No,Low,Far,No,No,87.8
STU00130,15,Male,2.8,87.9,68.6,53.6,9.3,High,High,Yes,No,No,Low,Near,No,No,68.7
STU00131,17,Female,19.5,79.2,61.1,67.3,8.7,Medium,Medium,Yes,Yes,No,Low,Moderate,No,No,66.3
STU00132,17,Male,20.1,92.8,55.8,74.7,7.2,High,High,Yes,No,Yes,High,Moderate,No,No,71.7
STU00133,15,Female,8.5,90.3,53.8,47.0,7.8,High,Medium,Yes,No,No,Medium,Near,No,No,59.0
STU00134,17,Male,13.3,93.7,58.3,57.2,7.1,Low,High,Yes,Yes,No,Medium,Moderate,No,No,58.4
STU00135,19,Female,0.0,100.0,49.6,53.4,4.7,Medium,Medium,Yes,No,No,Low,Near,No,Yes,46.7
STU00136,16,Female,22.4,87.2,52.8,73.9,8.9,Medium,High,Yes,Yes,No,Low,Near,No,No,66.5
STU00137,21,Female,18.3,100.0,79.7,88.3,,Medium,High,No,No,No,High,Far,Yes,No,79.2
STU00138,16,Male,4.5,99.3,63.4,64.9,4.5,Medium,High,Yes,No,No,Medium,Near,No,Yes,53.1
STU00139,15,Female,,92.8,71.0,74.6,6.4,Medium,Medium,Yes,No,No,Medium,Near,No,No,67.6
STU00140,18,Female,11.5,68.1,72.1,63.3,9.3,Low,Low,No,No,Yes,Medium,Moderate,No,No,49.0
STU00141,21,Female,21.8,86.1,61.3,66.9,7.3,Medium,Medium,Yes,Yes,Yes,Medium,Far,No,No,74.7
STU00142,15,Female,19.0,87.5,49.6,52.4,5.5,Medium,Medium,Yes,No,No,Medium,Near,No,Yes,60.4
STU00143,18,Female,8.4,87.2,52.6,57.6,8.8,High,High,Yes,No,No,Medium,Near,No,No,64.3
STU00144,16,Male,10.3,83.9,56.9,56.6,7.2,Medium,Medium,Yes,No,Yes,High,Far,No,No,57.6
STU00145,15,Male,15.4,91.5,69.5,68.1,8.9,Low,Low,Yes,Yes,No,Low,Near,No,No,68.6
STU00146,21,Female,8.6,92.8,67.1,50.6,7.1,Medium,Medium,Yes,No,No,Medium,Near,No,No,59.6
STU00147,21,Male,10.8,68.3,89.6,45.2,4.0,High,Medium,Yes,No,No,Low,Moderate,No,Yes,66.4
STU00148,20,Other,20.5,98.5,56.6,69.0,9.7,Medium,Low,Yes,No,Yes,Medium,Moderate,No,No,63.3
STU00149,19,Female,5.2,70.2,61.8,53.0,5.3,Medium,Low,No,Yes,No,High,Far,No,Yes,56.0
STU00150,17,Female,13.9,80.9,54.1,46.3,6.3,High,Low,Yes,No,Yes,Medium,Near,No,No,61.3
STU00151,18,Male,13.3,76.1,56.5,58.4,8.8,Low,Medium,Yes,No,Yes,Medium,Far,No,No,58.4
STU00152,20,Female,14.7,77.8,51.8,55.6,10.0,Low,Medium,Yes,No,No,High,Far,No,No,44.6
STU00153,17,Female,17.1,95.9,57.9,82.9,6.9,Medium,Low,Yes,Yes,Yes,Medium,Near,No,No,79.9
STU00154,17,Female,19.9,86.2,55.0,73.6,7.5,High,High,Yes,No,No,Low,Near,No,No,67.0
STU00155,15,Female,21.3,91.8,59.4,73.6,5.2,Medium,Low,Yes,Yes,No,Low,Far,No,Yes,66.1
STU00156,17,Male,12.2,91.3,70.0,56.3,6.6,Low,Medium,Yes,No,Yes,Medium,Moderate,No,No,56.9
STU00157,19,Female,13.8,65.8,43.8,71.6,8.6,Medium,Medium,Yes,Yes,Yes,Medium,Moderate,Yes,No,59.6
STU00158,21,Female,17.8,79.4,57.8,59.9,7.5,Medium,High,Yes,Yes,No,Medium,Moderate,No,No,67.2
STU00159,20,Male,16.4,92.5,61.7,88.2,9.6,High,Low,Yes,No,No,Medium,Moderate,No,No,72.3
STU00160,17,Male,19.6,91.6,66.4,90.4,4.9,High,High,Yes,No,No,High,Far,No,No,76.9
STU00161,15,Female,18.6,67.4,77.1,89.5,4.8,High,Medium,Yes,No,Yes,Low,Near,No,Yes,73.0
STU00162,19,Female,8.4,95.3,77.1,62.5,6.0,Medium,Low,Yes,Yes,Yes,Medium,Near,No,Yes,64.1
STU00163,16,Other,30.0,91.2,51.2,82.5,6.0,Medium,Medium,Yes,No,No,Low,Far,No,Yes,68.6
STU00164,21,Female,15.0,75.4,54.3,64.2,8.4,High,High,No,No,No,High,Far,No,No,65.4
STU00165,21,Male,20.6,89.1,68.1,67.6,6.4,Medium,Medium,Yes,No,No,Low,Moderate,No,No,67.1
STU00166,20,Male,19.9,82.7,56.7,77.9,5.2,Medium,Medium,Yes,No,No,Medium,Far,No,No,68.5
STU00167,21,Male,17.2,89.9,62.0,63.0,7.6,Medium,Medium,Yes,Yes,No,Low,Moderate,Yes,Yes,64.3
STU00168,17,Male,17.1,67.0,68.3,75.7,,Medium,,Yes,No,No,Medium,Near,No,No,63.8
STU00169,15,Male,22.4,81.5,71.4,69.8,5.4,Medium,High,Yes,No,Yes,High,Far,No,No,68.7
STU00170,21,Male,13.3,96.8,61.1,73.3,8.6,High,High,Yes,No,Yes,Medium,Moderate,Yes,Yes,73.6
STU00171,21,Male,21.2,90.4,64.7,81.5,8.9,Medium,Medium,Yes,No,No,Medium,Near,No,No,67.9
STU00172,16,Female,19.0,92.9,53.8,70.2,8.5,Medium,Low,Yes,No,No,Medium,Near,No,No,70.9
STU00173,16,Male,24.4,82.7,74.0,69.8,5.7,Low,Medium,No,No,No,Medium,Moderate,No,Yes,61.9
STU00174,18,Female,11.0,90.6,65.1,48.3,6.1,High,High,Yes,Yes,No,High,Far,No,No,75.0
STU00175,19,Female,15.7,83.4,69.1,71.0,7.8,High,Medium,No,No,No,Low,Near,No,No,66.0
STU00176,17,Male,8.2,75.8,63.6,50.8,8.1,Medium,Low,Yes,No,Yes,Medium,Near,No,No,52.3
STU00177,21,Male,23.9,82.5,47.9,69.8,6.7,Medium,Medium,Yes,Yes,No,Low,Moderate,No,No,66.0
STU00178,21,Male,9.1,99.5,63.8,58.5,8.8,Low,Medium,Yes,No,No,Low,Far,No,No,50.4
STU00179,15,Male,17.7,96.3,45.6,59.6,4.0,Low,Low,Yes,No,Yes,Medium,Moderate,No,No,60.2
STU00180,18,Female,11.4,75.1,48.0,65.1,6.1,Medium,High,Yes,Yes,No,Medium,Moderate,No,No,58.9
STU00181,19,Male,24.1,80.8,64.4,74.4,10.0,Medium,High,No,Yes,Yes,Medium,Moderate,No,Yes,69.1
STU00182,18,Male,14.5,75.8,58.7,69.2,7.0,Medium,High,No,Yes,Yes,Medium,Near,Yes,No,47.3
STU00183,20,Male,20.2,86.8,58.1,88.9,6.3,Medium,Medium,Yes,No,No,Low,Moderate,No,No,68.7
STU00184,19,Other,6.3,95.0,62.3,56.4,7.7,Medium,Medium,Yes,No,Yes,Low,Near,No,No,62.1
STU00185,21,Female,10.0,100.0,54.1,57.5,5.6,High,Medium,Yes,No,No,Medium,Far,Yes,Yes,58.8
STU00186,21,Female,19.9,70.7,71.0,81.6,4.0,Low,Low,Yes,No,Yes,High,Near,No,Yes,64.1
STU00187,19,Male,25.3,93.6,61.7,87.5,10.0,Medium,Medium,Yes,Yes,No,Low,Moderate,Yes,No,70.2
STU00188,21,Female,19.2,84.9,68.7,62.6,5.7,Low,Low,Yes,No,No,Medium,Near,Yes,Yes,66.1
STU00189,17,Female,34.1,81.3,80.8,100.0,7.3,Medium,Medium,Yes,No,No,Medium,Moderate,No,No,83.6
STU00190,19,Female,,75.6,57.7,67.6,7.3,Medium,Medium,No,No,No,Medium,Near,No,Yes,66.6
STU00191,18,Other,15.1,100.0,41.6,58.8,7.7,Low,Medium,Yes,No,No,High,Near,No,No,59.6
STU00192,19,Male,12.4,68.7,38.5,76.0,5.8,Low,High,Yes,Yes,No,High,Near,No,No,47.6
STU00193,21,Female,29.5,80.1,41.1,96.3,4.0,Medium,Medium,No,Yes,No,Medium,Moderate,No,No,57.8
STU00194,17,Female,21.5,88.7,55.9,72.1,6.0,Low,Low,Yes,Yes,No,Low,Near,No,No,59.2
STU00195,17,Male,10.9,89.5,50.6,67.5,7.0,Medium,Low,Yes,Yes,Yes,High,Moderate,No,No,64.6
STU00196,20,Male,9.7,97.5,54.4,53.2,7.2,Low,Low,Yes,No,No,Medium,Moderate,No,No,48.9
STU00197,18,Other,9.7,76.2,61.2,65.5,9.3,Medium,High,Yes,No,No,Low,Moderate,No,No,57.3
STU00198,16,Male,19.1,91.2,81.6,57.7,6.6,Medium,Low,Yes,No,Yes,Medium,Moderate,No,No,69.1
STU00199,16,Female,2.9,84.4,57.9,63.3,7.3,High,Low,Yes,Yes,Yes,High,Far,No,Yes,70.9
STU00200,19,Other,10.9,85.4,48.4,60.2,5.8,High,,Yes,Yes,No,High,Near,No,No,65.0
STU00201,20,Female,17.4,80.4,57.1,59.4,6.1,Medium,Medium,Yes,No,No,Low,Near,No,No,57.4
STU00202,15,Male,15.2,86.6,58.6,67.9,10.0,High,Medium,Yes,No,No,Medium,Far,No,No,70.7
STU00203,19,Female,11.4,83.6,58.3,49.2,5.9,Medium,Low,Yes,No,No,High,Near,No,No,63.5
STU00204,20,Male,20.6,81.4,71.2,77.7,6.4,Low,Low,Yes,No,Yes,Low,Far,No,Yes,67.8
STU00205,18,Female,20.5,79.7,51.0,75.6,8.6,High,High,Yes,Yes,No,Medium,Near,Yes,No,61.1
STU00206,18,Male,13.3,88.7,77.0,69.2,9.9,Medium,Medium,No,No,No,Medium,Moderate,No,Yes,60.9
STU00207,18,Female,10.7,71.7,65.5,58.2,8.2,Medium,Low,Yes,No,No,Medium,Near,No,Yes,57.1
STU00208,18,Female,21.9,83.1,66.3,61.6,8.2,High,Medium,Yes,Yes,No,Low,Far,No,No,82.8
STU00209,18,Female,13.7,77.3,59.9,60.6,5.1,High,Low,No,Yes,No,Medium,Moderate,No,No,58.8
STU00210,20,Female,15.1,83.8,47.3,52.2,7.8,High,High,Yes,No,Yes,High,Near,No,Yes,66.7
STU00211,20,Female,21.3,83.9,65.5,85.4,6.5,Medium,Medium,No,Yes,No,Medium,Near,No,No,67.6
STU00212,17,Female,6.2,93.7,71.7,47.3,7.7,High,Low,Yes,No,No,Medium,Near,No,No,70.1
STU00213,16,Male,10.9,91.6,51.2,45.9,,Medium,Medium,Yes,No,Yes,Medium,Moderate,No,Yes,51.8
STU00214,21,Female,12.9,87.9,65.3,66.4,6.1,High,Low,Yes,Yes,No,Low,Near,Yes,No,67.3
STU00215,18,Male,30.3,86.7,72.5,100.0,4.8,Medium,Medium,Yes,No,No,Medium,Near,No,No,76.7
STU00216,15,Female,5.0,83.1,60.8,52.6,6.9,Medium,High,Yes,No,No,Medium,Moderate,No,Yes,53.4
STU00217,21,Male,15.3,82.9,77.4,70.6,7.3,Medium,Medium,Yes,Yes,Yes,High,Moderate,No,No,78.4
STU00218,20,Male,7.9,67.5,60.9,47.4,4.0,Medium,Medium,Yes,Yes,No,Low,Near,No,No,48.1
STU00219,15,Female,33.5,92.3,56.0,90.0,6.1,Medium,Low,Yes,No,Yes,Medium,Near,No,No,72.1
STU00220,15,Male,17.1,87.7,69.3,52.3,6.6,Medium,Medium,Yes,No,No,Medium,Moderate,No,No,63.9
STU00221,15,Male,7.4,97.0,41.2,41.6,7.9,Medium,Low,Yes,No,No,High,Far,No,No,54.2
STU00222,17,Female,1.8,79.5,58.2,63.8,6.1,High,Medium,Yes,No,No,Low,Near,No,No,45.0
STU00223,20,Female,19.9,97.6,51.0,70.5,7.9,Medium,High,No,No,No,Low,Moderate,No,No,62.1
STU00224,15,Female,16.5,83.1,46.3,74.2,7.4,Medium,Low,Yes,Yes,No,Low,Near,No,No,56.2
